customerId,purchaseDate,categorySet,itemIdSet,itemNameSet,season,seasonLabel,isHoliday,isFestival,timeSlot,timeSlotLabel,monthPartLabel,weekOfMonth,embedded_cat,basket_category_embedding
23561,01-01-25,"{Dairy-Other, Bakery-Bread, Beverage-Hot}","{7075, 27, 6814}","{Herman Peanut Butter-340gm, Pran Toast-250g, Horlicks Classic Malt-1Kg Jar}",Winter,1,0,0,Morning,1,1,1,"[274.294032, -226.995335, -93.049201, 19.954138, 19.756523, 19.246942, 9.962914, -2.376858]","[29.928769, -0.264688, -0.632273, -0.389245, 0.104295, 0.212371, 0.021979, 0.21844]"
23569,01-01-25,"{Pantry-DryFood, Fruits-Fresh, Bakery-Bread, Dairy-Other, Beverage-Hot, Clothing-Traditional, Protein-Egg}","{25474, 15131, 13786, 7017, 6815, 31849, 13352}","{Lassa Special Semai-500g(Pkt), Atta Fruits, C.N Plain Paratha 20pcs-1300gm, Good Life Mozzarella Cheese-200gm, Horlicks - 500gm Jar, RF Fotua-064, Queens Egg Bread- 125g}",Winter,1,0,0,Morning,1,1,1,"[267.090465, -107.99092, -62.485219, 24.428983, 47.871285, 30.988552, 16.140981, 29.552839]","[28.234124, 0.153048, -0.106894, -0.015198, 0.015543, 0.187411, -0.066941, -0.409702]"
23527,01-01-25,"{Pantry-Oils, Household-Cleaning, Fish-Fresh, Pantry-Rice, Personal-Care-Sanitary, Clothing-Accessories}","{32441, 2306, 13922, 2364, 952, 30743, 32269}","{Ela vista pomace olive oil 250 ml, Harpic Total Powder-400gm, Rui Fish (S1)-(MNK), Rok Tiles & Bathroom- 1000ml, Chashi Aroma.Chinigura Rice-2kg, Senora S.Nap Eco(Belt)-15s Pad, Gopal Ind Like Me Bra S-38 (4/23)}",Winter,1,0,0,Afternoon,3,1,1,"[192.558794, -92.786054, 63.207407, -85.940073, 27.172302, -46.594057, -6.005345, -10.55027]","[30.191856, -0.558436, 0.644018, 0.44081, -0.711032, 0.431551, 0.158704, 0.736087]"
23433,01-01-25,"{Spices-Cooking, Veg-Cooking, Pantry-DryFood}","{878, 704, 15104, 31328, 14964}","{Radhuni Spices (Corinder)-100gm, Radhuni Spices Cumin-200gm, Bomby Chilli-5Pcs, Prince Lacha Samai-200g(Pkt), Green Papaya(kg)}",Winter,1,0,0,Afternoon,3,1,1,"[71.736065, -174.945709, 115.666275, -59.864885, 145.403072, -79.024414, -136.842953, 56.438189]","[31.248554, -0.560331, -0.796425, -1.717897, -0.66909, -0.669935, -0.444605, -1.164746]"
23494,01-01-25,"{Pantry-Sweeteners, Personal-Care-Oral, Household-Cleaning, Meat-Fresh, Spices-Cooking, Pantry-Oils}","{15180, 2220, 2364, 13793, 708, 2043, 12655}","{Akher Sugar -1kg, Ambition Tooth brush, Rok Tiles & Bathroom- 1000ml, C.N Chicken Nuggets-250gm, Radhuni Chatpati Masala 50Gm, Rupchanda Soyabean-5Ltr, Ramisa Nut(Oil)-200gm}",Winter,1,0,0,Afternoon,3,1,1,"[152.481133, -52.354355, 107.732045, -131.078359, -22.089553, -31.235376, -21.403838, -27.72072]","[29.365952, 0.023257, -0.854166, -0.450602, 0.095569, 0.142247, 0.666168, 0.136829]"
23572,01-01-25,"{Household-Utility, Fruits-Fresh, Personal-Care-Hair, Household-Kitchen, Pantry-Grains, Dairy-Other, Instant-Food}","{30640, 15263, 32486, 10415, 12826, 7196, 26634}","{Pure it Micro Fiber Mesh, Malta (Yellow)-kg, Sunsilk Hair Fall Solution Shampoo-170ml, Chaad Dish Washing Liq Lemon -500ml, Chia Seed (Dana) New-100g, Austogram Mozzarella Cheese-250gm, Prince Egg Noodles 300gm}",Winter,1,0,0,Afternoon,3,1,1,"[259.005355, 68.92828, 37.476159, 22.779877, 5.884824, 2.023777, -27.998679, 17.881727]","[25.706331, 0.218619, 0.191138, 0.060522, -0.042669, 0.176847, -0.021692, 0.335105]"
23546,01-01-25,"{Chocolates-Sweets, Household-Utility, Personal-Care-Cosmetics, Clothing-Accessories, Clothing-Casual, Bakery-Bread}","{1217, 30640, 886, 32269, 32123, 27, 16230}","{Chupa Chups lolipop, Pure it Micro Fiber Mesh, Radhuni Chilli Powder -200gm, Gopal Ind Like Me Bra S-38 (4/23), Ch Baby T-Shirt-21030 (4/23), Pran Toast-250g, Polar Ice-Cream Kheer-1Ltr}",Winter,1,0,0,Evening,4,1,1,"[263.636345, -32.315096, -80.071217, -92.14766, 21.571463, 65.516537, 10.310719, 17.903397]","[27.692942, -0.031742, -0.238659, -0.074706, 0.28294, -0.213554, -0.211164, 0.339562]"
23565,01-01-25,"{Veg-Cooking, Pantry-Grains, Pantry-Pulses, Personal-Care-Sanitary, Beverage-Juice, Pantry-Flour, Beverage-Carbonated}","{14843, 12826, 488, 30743, 42961, 30788, 22235}","{Cucumber Deshi (kg), Chia Seed (Dana) New-100g, Bacha Boot Pulse 1Kg, Senora S.Nap Eco(Belt)-15s Pad, Dolphin Nata de Coco Drink (All)-270gm, Teer Atta 2kg, Coca Cola-2.25Lt(Pet)}",Winter,1,0,0,Evening,4,1,1,"[222.494378, -102.491421, 32.339662, -1.409135, -33.251318, -40.649141, -43.178902, -50.514141]","[28.696574, 0.177345, 0.291792, -0.12702, -0.000203, -1.092405, -0.372747, 0.064981]"
23586,01-01-25,"{Veg-Cooking, Spices-Cooking, Dairy-Milk, Meat-Fresh, Pantry-Pulses, Fish-Fresh}","{15279, 708, 3831, 14978, 12627, 318, 13930}","{Thai Papaya Ripe Red Lady, Radhuni Chatpati Masala 50Gm, Milk Vita Liquid Milk-1Ltr, Chicken (B-Skin Less), Ramisa-Fried Chira Masala Pkt-200gm, Musur Pulse Kangaroo -1Kg (sp), Poa Fish Small-(MNK)}",Winter,1,0,0,Night,5,1,1,"[102.089266, -243.201031, 152.824148, -41.067137, 59.709938, -79.037949, -10.40724, 56.007089]","[31.71348, 0.085276, -1.204987, -0.266164, -0.211832, 0.002705, 0.031647, 0.258104]"
23579,01-01-25,"{Fish-Fresh, Spices-Cooking, Desserts-Traditional, Protein-Egg, Veg-Cooking}","{13917, 3739, 14046, 12637, 891, 14034, 6857}","{Rui Fish (XL)-(HB), Hot Pran Tomato Sauce-500gm, Gulsha Fish(Small)-(HB), Ramisa-Nakshi Pitha Box-4 Pcs, R.Spices(Turmaric)-100g, Omega 3 Enriched Egg-12pcs, Potato Deshi New-1kg}",Winter,1,0,0,Night,5,1,1,"[145.946726, -164.511268, 140.089808, -24.90728, 43.196119, -72.166038, -64.305988, 60.193415]","[30.731593, -0.04701, -0.568951, -1.111268, -0.705454, 0.158993, -0.253913, 0.310282]"
