customerId,purchaseDate,categorySet,itemIdSet,itemNameSet,season,seasonLabel,isHoliday,isFestival,timeSlot,timeSlotLabel,monthPartLabel,weekOfMonth,basket_category_embedding
23561,01-01-25,"{Dairy-Other, Bakery-Bread, Beverage-Hot}","{7075, 27, 6814}","{Herman Peanut Butter-340gm, Pran Toast-250g, Horlicks Classic Malt-1Kg Jar}",Winter,1,0,0,Morning,1,1,1,"[29.928769, -0.264688, -0.632273, -0.389245, 0.104295, 0.212371, 0.021979, 0.21844]"
23569,01-01-25,"{Pantry-DryFood, Fruits-Fresh, Bakery-Bread, Dairy-Other, Beverage-Hot, Clothing-Traditional, Protein-Egg}","{25474, 15131, 13786, 7017, 6815, 31849, 13352}","{Lassa Special Semai-500g(Pkt), Atta Fruits, C.N Plain Paratha 20pcs-1300gm, Good Life Mozzarella Cheese-200gm, Horlicks - 500gm Jar, RF Fotua-064, Queens Egg Bread- 125g}",Winter,1,0,0,Morning,1,1,1,"[28.234124, 0.153048, -0.106894, -0.015198, 0.015543, 0.187411, -0.066941, -0.409702]"
23527,01-01-25,"{Pantry-Oils, Household-Cleaning, Fish-Fresh, Pantry-Rice, Personal-Care-Sanitary, Clothing-Accessories}","{32441, 2306, 13922, 2364, 952, 30743, 32269}","{Ela vista pomace olive oil 250 ml, Harpic Total Powder-400gm, Rui Fish (S1)-(MNK), Rok Tiles & Bathroom- 1000ml, Chashi Aroma.Chinigura Rice-2kg, Senora S.Nap Eco(Belt)-15s Pad, Gopal Ind Like Me Bra S-38 (4/23)}",Winter,1,0,0,Afternoon,3,1,1,"[30.191856, -0.558436, 0.644018, 0.44081, -0.711032, 0.431551, 0.158704, 0.736087]"
23433,01-01-25,"{Spices-Cooking, Veg-Cooking, Pantry-DryFood}","{878, 704, 15104, 31328, 14964}","{Radhuni Spices (Corinder)-100gm, Radhuni Spices Cumin-200gm, Bomby Chilli-5Pcs, Prince Lacha Samai-200g(Pkt), Green Papaya(kg)}",Winter,1,0,0,Afternoon,3,1,1,"[31.248554, -0.560331, -0.796425, -1.717897, -0.66909, -0.669935, -0.444605, -1.164746]"
23494,01-01-25,"{Pantry-Sweeteners, Personal-Care-Oral, Household-Cleaning, Meat-Fresh, Spices-Cooking, Pantry-Oils}","{15180, 2220, 2364, 13793, 708, 2043, 12655}","{Akher Sugar -1kg, Ambition Tooth brush, Rok Tiles & Bathroom- 1000ml, C.N Chicken Nuggets-250gm, Radhuni Chatpati Masala 50Gm, Rupchanda Soyabean-5Ltr, Ramisa Nut(Oil)-200gm}",Winter,1,0,0,Afternoon,3,1,1,"[29.365952, 0.023257, -0.854166, -0.450602, 0.095569, 0.142247, 0.666168, 0.136829]"
23572,01-01-25,"{Household-Utility, Fruits-Fresh, Personal-Care-Hair, Household-Kitchen, Pantry-Grains, Dairy-Other, Instant-Food}","{30640, 15263, 32486, 10415, 12826, 7196, 26634}","{Pure it Micro Fiber Mesh, Malta (Yellow)-kg, Sunsilk Hair Fall Solution Shampoo-170ml, Chaad Dish Washing Liq Lemon -500ml, Chia Seed (Dana) New-100g, Austogram Mozzarella Cheese-250gm, Prince Egg Noodles 300gm}",Winter,1,0,0,Afternoon,3,1,1,"[25.706331, 0.218619, 0.191138, 0.060522, -0.042669, 0.176847, -0.021692, 0.335105]"
23546,01-01-25,"{Chocolates-Sweets, Household-Utility, Personal-Care-Cosmetics, Clothing-Accessories, Clothing-Casual, Bakery-Bread}","{1217, 30640, 886, 32269, 32123, 27, 16230}","{Chupa Chups lolipop, Pure it Micro Fiber Mesh, Radhuni Chilli Powder -200gm, Gopal Ind Like Me Bra S-38 (4/23), Ch Baby T-Shirt-21030 (4/23), Pran Toast-250g, Polar Ice-Cream Kheer-1Ltr}",Winter,1,0,0,Evening,4,1,1,"[27.692942, -0.031742, -0.238659, -0.074706, 0.28294, -0.213554, -0.211164, 0.339562]"
23565,01-01-25,"{Veg-Cooking, Pantry-Grains, Pantry-Pulses, Personal-Care-Sanitary, Beverage-Juice, Pantry-Flour, Beverage-Carbonated}","{14843, 12826, 488, 30743, 42961, 30788, 22235}","{Cucumber Deshi (kg), Chia Seed (Dana) New-100g, Bacha Boot Pulse 1Kg, Senora S.Nap Eco(Belt)-15s Pad, Dolphin Nata de Coco Drink (All)-270gm, Teer Atta 2kg, Coca Cola-2.25Lt(Pet)}",Winter,1,0,0,Evening,4,1,1,"[28.696574, 0.177345, 0.291792, -0.12702, -0.000203, -1.092405, -0.372747, 0.064981]"
23586,01-01-25,"{Veg-Cooking, Spices-Cooking, Dairy-Milk, Meat-Fresh, Pantry-Pulses, Fish-Fresh}","{15279, 708, 3831, 14978, 12627, 318, 13930}","{Thai Papaya Ripe Red Lady, Radhuni Chatpati Masala 50Gm, Milk Vita Liquid Milk-1Ltr, Chicken (B-Skin Less), Ramisa-Fried Chira Masala Pkt-200gm, Musur Pulse Kangaroo -1Kg (sp), Poa Fish Small-(MNK)}",Winter,1,0,0,Night,5,1,1,"[31.71348, 0.085276, -1.204987, -0.266164, -0.211832, 0.002705, 0.031647, 0.258104]"
23579,01-01-25,"{Fish-Fresh, Spices-Cooking, Desserts-Traditional, Protein-Egg, Veg-Cooking}","{13917, 3739, 14046, 12637, 891, 14034, 6857}","{Rui Fish (XL)-(HB), Hot Pran Tomato Sauce-500gm, Gulsha Fish(Small)-(HB), Ramisa-Nakshi Pitha Box-4 Pcs, R.Spices(Turmaric)-100g, Omega 3 Enriched Egg-12pcs, Potato Deshi New-1kg}",Winter,1,0,0,Night,5,1,1,"[30.731593, -0.04701, -0.568951, -1.111268, -0.705454, 0.158993, -0.253913, 0.310282]"
23402,01-01-25,"{Pantry-Rice, Veg-Cooking, Fish-Fresh, Meat-Fresh}","{952, 14975, 13921, 15262, 976}","{Chashi Aroma.Chinigura Rice-2kg, Capsicum Yellow(kg), Rui Fish-M-(MNK), Cow Brain-K, Lata Rice-KG}",Winter,1,0,0,Night,5,1,1,"[33.196282, -0.958338, -0.93165, 1.194495, -0.142556, -0.146179, -0.16805, 0.553587]"
23483,01-01-25,"{Personal-Care-Hair, Pantry-Rice, Fish-Fresh, Personal-Care-Cosmetics, Pickle}","{4259, 976, 13922, 886, 1189}","{Sunsilk G.Tea & W.Lilly F Shampoo-375ml, Lata Rice-KG, Rui Fish (S1)-(MNK), Radhuni Chilli Powder -200gm, Prince Mango Pickle(400gm)}",Winter,1,0,0,Night,5,1,1,"[28.891074, -0.66804, 0.72301, 0.595933, -0.350514, 0.52424, -0.380936, 0.599515]"
23560,01-01-25,"{Pantry-DryFood, Pantry-Sweeteners, Snacks-General, Beverage-Juice, Spices-Cooking}","{31328, 4958, 15180, 13620, 42961, 453, 878}","{Prince Lacha Samai-200g(Pkt), Teer Sugar-1Kg, Akher Sugar -1kg, AG Vegetable Spring Roll-400g, Dolphin Nata de Coco Drink (All)-270gm, Saad Testy Bit Salt-100gm, Radhuni Spices (Corinder)-100gm}",Winter,1,0,0,Night,5,1,1,"[29.892705, -0.301136, -0.363002, -0.896007, -0.414953, 0.486486, -0.732356, -0.429417]"
23548,02-01-25,"{Meat-Processed, Chocolates-Sweets, Personal-Care-Bath, Pickle, Pantry-DryFood, Dairy-Milk, Beverage-Hot}","{13647, 1201, 25571, 1192, 31328, 3182, 6812}","{Chicken Spring Roll - 250gm, Fruits Skittles Cho -45g, Lifebuoy Liquid Total Hand Wash-170ml, Prince Olive Pickle(400gm), Prince Lacha Samai-200g(Pkt), Starship Chocolate Milk-200ml, Horlicks Classic Malt-250gm Jar}",Winter,1,0,0,Morning,1,1,1,"[27.014291, 0.314505, 0.145241, 0.016488, 0.156721, -0.001069, 0.315194, -0.491321]"
23575,02-01-25,"{Pantry-Sweeteners, Fruits-Fresh, Pantry-Flour, Protein-Egg}","{4958, 14844, 30626, 13352}","{Teer Sugar-1Kg, Banana Green Small-kg, Bashundhara Maida-2kg, Queens Egg Bread- 125g}",Winter,1,0,0,Morning,1,1,1,"[26.336412, 0.168633, 0.203241, -0.007801, 0.090904, -0.050016, -0.283477, 0.135253]"
23456,02-01-25,"{Dairy-Milk, Beverage-Hot, Household-Cleaning}","{3182, 6815, 2364}","{Starship Chocolate Milk-200ml, Horlicks - 500gm Jar, Rok Tiles & Bathroom- 1000ml}",Winter,1,0,0,Afternoon,3,1,1,"[28.440577, 0.085862, 0.32172, 0.075172, -0.185962, 0.095456, 0.869875, -0.160246]"
23524,02-01-25,"{Pantry-Flour, Veg-Cooking, Fish-Fresh, Personal-Care-Sanitary, Personal-Care-Bath}","{30627, 14969, 13922, 30745, 32467}","{Bashundhara Atta-2kg, Carrot (Deshi) kg, Rui Fish (S1)-(MNK), Senora Confidence-16Pads, Lifebuoy Hand Wash-200ml}",Winter,1,0,0,Afternoon,3,1,1,"[29.157253, 0.279516, -0.142145, 0.029339, -0.76096, -0.216964, -0.446021, 0.02641]"
23441,02-01-25,"{Meat-Fresh, Personal-Care-Cosmetics, Pantry-Rice, Beverage-Hot}","{15262, 16232, 2030, 6812}","{Cow Brain-K, Polar Ice Cream Chocolate-1Ltr(Tub), Pran Aromatic Rice-2kg, Horlicks Classic Malt-250gm Jar}",Winter,1,0,0,Afternoon,3,1,1,"[31.149802, -1.410349, -0.637093, 1.121799, 0.281198, 0.051308, 0.033332, 0.605008]"
23581,02-01-25,"{Chocolates-Sweets, Instant-Food, Bakery-Bread, Snacks-General, Beverage-Juice, Beverage-Carbonated}","{1217, 26766, 43017, 4965, 42961, 22237, 26607}","{Chupa Chups lolipop, Mr.Noodles Easy Masala-8pcs, Doughtnut Sugar Bread-200gm, Poppers Corn-Coco Chips-25gm, Dolphin Nata de Coco Drink (All)-270gm, Coca Cola-600ml(Pet), Doodles Stick Noodles-300gm}",Winter,1,0,0,Evening,4,1,1,"[29.966148, -0.083358, -0.1917, -0.158239, 0.057, -0.190756, -0.482937, -0.043196]"
23494,02-01-25,"{Chocolates-Sweets, Household-AirCare, Snacks-General, Clothing-Casual, Bakery-Bread, Meat-Fresh, Household-Laundry, Spices-Cooking}","{1709, 28573, 7510, 32223, 16240, 13989, 133, 12834}","{Ginnou Wrapper Chocolate Box -44gm, Lattafa Air Freshener-300ml (Pure Oudi), Bisk Club Potata Biscuit- 100g, Anita Ind ONN Vest- NF 221(4/23), Polar Cake - 1Ltr, Beef Without Bone Special, Rin Advanced-500gm, Prince Betel Spice 100gm}",Winter,1,0,0,Evening,4,1,1,"[29.060035, -0.105746, -1.148636, -0.21154, 0.445562, 0.446666, -0.110574, -0.497742]"
23466,02-01-25,"{Pantry-Pulses, Beverage-Hot, Household-Kitchen, Personal-Care-Hair}","{489, 26888, 10415, 4265}","{Chola Pulse-1kg, Nescafe Classic Jar-50g, Chaad Dish Washing Liq Lemon -500ml, Treseme C. Smooth Shampoo -340ml}",Winter,1,0,0,Evening,4,1,1,"[27.419741, 0.305937, 0.218545, 0.029329, 0.289924, 0.131742, 0.100548, 0.196094]"
23433,02-01-25,"{Meat-Fresh, Beverage-Carbonated, Dry-Fruits, Spices-Cooking, Desserts-Traditional, Instant-Food, Personal-Care-Sanitary}","{14978, 22260, 22258, 12963, 3612, 15262, 864, 26766, 30743}","{Chicken (B-Skin Less), Pepsi (Diet) 600ml, Pepsi 600ml, White Kazu Badam-50g, Italiano Sweet Chilli Sauce-340g, Cow Brain-K, Pran Haleem Mix(200g), Mr.Noodles Easy Masala-8pcs, Senora S.Nap Eco(Belt)-15s Pad}",Winter,1,0,0,Night,5,1,1,"[28.7843, -0.033841, -0.564466, -0.441613, 0.419939, 0.136695, 0.16466, 0.144617]"
23571,02-01-25,"{Meat-Fresh, Pantry-Oils, Spices-Cooking, Pantry-Pulses}","{13802, 2038, 453, 489}","{Chicken (Deshi), Teer Soya Oil 2Lt(Bottle), Saad Testy Bit Salt-100gm, Chola Pulse-1kg}",Winter,1,0,0,Night,5,1,1,"[31.814102, 0.080447, -1.508111, -0.657668, 0.138898, 0.33903, 0.311528, 0.13822]"
23530,02-01-25,"{Spices-Cooking, Fish-Fresh, Personal-Care-Sanitary, Spices-MeatSpecial, Snacks-General, Pantry-Rice}","{782, 14046, 30745, 762, 4846, 976, 890}","{Panch Foron-100g, Gulsha Fish(Small)-(HB), Senora Confidence-16Pads, Maggi Saad -E -Magic S Mix-48g, Sun Chips Garlic & Chili 38g, Lata Rice-KG, Radhuni Garam Masala-40gm}",Winter,1,0,0,Night,5,1,1,"[30.44271, -1.072828, -0.039911, -0.19852, -0.541429, 1.322811, -0.271882, 0.006689]"
23436,03-01-25,"{Dairy-Milk, Pantry-Pulses, Bakery-Bread, Beverage-Hot}","{3831, 487, 27, 13654, 3182, 6814}","{Milk Vita Liquid Milk-1Ltr, Prince Dubli Pulse-1kg, Pran Toast-250g, Quality Premiun Paratha 10Pcs-650g, Starship Chocolate Milk-200ml, Horlicks Classic Malt-1Kg Jar}",Winter,1,1,0,Morning,1,1,1,"[29.463933, 0.037174, -0.222851, 0.157506, 0.345238, -0.069893, -0.251501, -0.215505]"
23546,03-01-25,"{Protein-Egg, Dairy-Other, Clothing-Traditional, Clothing-Accessories}","{13352, 15275, 23117, 32269, 14034, 6838}","{Queens Egg Bread- 125g, Austrogram Cheese, One Man Punjabi -0521, Gopal Ind Like Me Bra S-38 (4/23), Omega 3 Enriched Egg-12pcs, Aarong Probiotic Yogurt-500gm}",Winter,1,1,0,Morning,1,1,1,"[28.975101, -0.179449, -0.176076, -0.318435, -0.364401, 0.175755, 0.590429, 0.604897]"
23439,03-01-25,"{Dry-Fruits, Fruits-Fresh, Chocolates-Sweets, Clothing-Traditional, Personal-Care-Hair, Beverage-Water, Meat-Fresh}","{12963, 15266, 1374, 32190, 4355, 25486, 13802}","{White Kazu Badam-50g, Apple (Fuji), Nestle Kitkat Chocolate- 41.5g, Aradhya Punjabi-2610, H&S Shampoo+Con. Smooth&Silky 2in1-650ml, Aquafina Drinking Water- 500ml, Chicken (Deshi)}",Winter,1,1,0,Morning,1,1,1,"[26.360689, 0.451224, -0.617601, 0.407406, 0.757525, 0.114037, 0.40347, -0.020065]"
