feature,importance
candidate_category_Personal-Care-Bath,0.04780285
candidate_category_Personal-Care-Cosmetics,0.04225277
candidate_category_Meat-Fresh,0.040889777
candidate_category_Personal-Care-Hair,0.039156757
candidate_category_Pantry-Oils,0.03245676
candidate_category_Instant-Food,0.031130606
candidate_category_Fruits-Fresh,0.030531561
candidate_category_Beverage-Juice,0.030502563
candidate_category_Dairy-Other,0.0295328
candidate_category_Protein-Egg,0.029393487
candidate_category_Fish-Fresh,0.029329082
candidate_category_Clothing-Accessories,0.028775902
candidate_category_Personal-Care-Oral,0.028682293
candidate_category_Veg-Cooking,0.028649285
candidate_category_Snacks-General,0.028210878
candidate_category_Household-Tissue,0.027185459
candidate_category_Personal-Care-Sanitary,0.025381658
candidate_category_Pantry-Rice,0.025124874
candidate_category_Pantry-Flour,0.024559226
candidate_category_Pantry-Dryfood,0.023198195
candidate_category_Household-Laundry,0.022770457
candidate_category_Meat-Processed,0.022736456
candidate_category_Household-Aircare,0.019084312
candidate_category_Dry-Fruits,0.017871415
candidate_category_Household-Kitchen,0.017263886
candidate_category_Beverage-Hot,0.01661109
candidate_category_Desserts-Traditional,0.016576333
customer_history_score,0.01592909
candidate_category_Clothing-Casual,0.015629884
context_popularity_score,0.01538917
candidate_category_Dairy-Milk,0.015264172
candidate_category_Beverage-Carbonated,0.014980254
candidate_category_Pickle,0.014968952
candidate_category_Clothing-Traditional,0.014656233
candidate_category_Bakery-Bread,0.01421197
candidate_category_Chocolates-Sweets,0.013820591
candidate_category_Household-Utility,0.013497989
candidate_category_Pantry-Pulses,0.012736879
candidate_category_Other,0.012357488
candidate_category_Spices-Cooking,0.010786259
candidate_category_Pantry-Sweeteners,0.01069583
candidate_category_Pantry-Grains,0.010605605
item_cooccurrence_score,0.008625035
isFestival,0.004363582
isHoliday,0.0032767626
category_affinity_score,0.0032523281
embedding_similarity_score,0.002829806
season_Summer,0.0023578336
timeSlot_Morning,0.0023441587
timeSlot_Evening,0.0021794455
basket_size,0.0019964462
timeSlot_Night,0.0017551453
season_Winter,0.0015663778
season_Rainy,0.0015649457
timeSlot_Afternoon,0.0015586326
weekOfMonth,0.0011384045
candidate_category_Household-Cleaning,0.0
candidate_category_Beverage-Water,0.0
candidate_category_Spices-Meatspecial,0.0
