feature,importance
business_boost_score,0.3668704
allowed_category_flag,0.23694122
profile_name_cooking,0.042343713
profile_name_clothing,0.028373223
candidate_category_Veg-Cooking,0.024711337
customer_history_score,0.022714175
candidate_category_Dairy-Other,0.018180981
candidate_category_Pantry-Flour,0.011579849
candidate_category_Fruits-Fresh,0.0109216925
candidate_category_Pantry-Oils,0.01034918
context_popularity_score,0.009897697
candidate_category_Meat-Fresh,0.009692399
candidate_category_Protein-Egg,0.009260713
candidate_category_Pantry-Pulses,0.009019511
candidate_category_Pantry-Rice,0.009005377
candidate_category_Meat-Processed,0.008457637
candidate_category_Personal-Care-Bath,0.007829676
candidate_category_Clothing-Accessories,0.0076267268
candidate_category_Beverage-Carbonated,0.0070597352
candidate_category_Personal-Care-Hair,0.007015661
candidate_category_Bakery-Bread,0.0063644233
candidate_category_Spices-Cooking,0.0062638717
candidate_category_Beverage-Hot,0.006102531
item_cooccurrence_score,0.006029892
candidate_category_Pantry-Dryfood,0.00601529
candidate_category_Personal-Care-Sanitary,0.0056846724
candidate_category_Fish-Fresh,0.005659263
candidate_category_Pantry-Grains,0.005628143
candidate_category_Beverage-Water,0.005230777
candidate_category_Dairy-Milk,0.004962178
candidate_category_Snacks-General,0.0046307733
candidate_category_Personal-Care-Oral,0.004625555
candidate_category_Beverage-Juice,0.0043487237
candidate_category_Clothing-Traditional,0.0039836555
candidate_category_Instant-Food,0.0037880254
profile_name_snack,0.003735628
candidate_category_Pantry-Sweeteners,0.003704554
profile_name_generic,0.0036598914
profile_name_breakfast,0.0035530988
candidate_category_Clothing-Casual,0.0034410905
category_affinity_score,0.0030893898
candidate_category_Spices-Meatspecial,0.0028473646
candidate_category_Personal-Care-Cosmetics,0.0028049876
embedding_similarity_score,0.0027058492
profile_name_personal_care,0.0024163732
preferred_category_flag,0.0023168856
profile_name_sanitary_plus,0.0022919783
isHoliday,0.0021640349
candidate_category_Chocolates-Sweets,0.0021200373
season_Winter,0.0020486873
isFestival,0.002039915
weekOfMonth,0.0020223898
input_category_count,0.0019943106
basket_size,0.0019881465
timeSlot_Morning,0.0018235714
season_Rainy,0.0017694499
required_group_flag,0.0017474644
timeSlot_Night,0.0017229628
timeSlot_Afternoon,0.0016798099
season_Summer,0.0016173598
timeSlot_Evening,0.0015260135
candidate_category_Pickle,0.0
candidate_category_Household-Cleaning,0.0
candidate_category_Other,0.0
candidate_category_Desserts-Traditional,0.0
candidate_category_Dry-Fruits,0.0
candidate_category_Household-Utility,0.0
candidate_category_Household-Tissue,0.0
candidate_category_Household-Laundry,0.0
candidate_category_Household-Kitchen,0.0
candidate_category_Household-Aircare,0.0
