feature,importance
candidate_category_Personal-Care-Bath,0.047126483
candidate_category_Personal-Care-Cosmetics,0.046809718
candidate_category_Meat-Fresh,0.045158334
candidate_category_Personal-Care-Hair,0.037961073
candidate_category_Fruits-Fresh,0.033586636
candidate_category_Instant-Food,0.03315764
candidate_category_Dairy-Other,0.03164676
candidate_category_Pantry-Oils,0.03147489
candidate_category_Personal-Care-Oral,0.029535836
candidate_category_Veg-Cooking,0.028652413
candidate_category_Snacks-General,0.027939016
candidate_category_Beverage-Juice,0.027803201
candidate_category_Household-Tissue,0.026785389
candidate_category_Clothing-Accessories,0.02630931
candidate_category_Pantry-Dryfood,0.026168894
candidate_category_Protein-Egg,0.02550373
candidate_category_Pantry-Flour,0.024297616
candidate_category_Personal-Care-Sanitary,0.023578577
candidate_category_Household-Laundry,0.022761676
candidate_category_Fish-Fresh,0.022675954
candidate_category_Meat-Processed,0.021648945
candidate_category_Pantry-Rice,0.02008777
candidate_category_Dairy-Milk,0.01868545
candidate_category_Household-Kitchen,0.018657025
candidate_category_Dry-Fruits,0.018067816
candidate_category_Desserts-Traditional,0.017711803
candidate_category_Beverage-Carbonated,0.017079907
candidate_category_Household-Aircare,0.01702623
customer_history_score,0.016564315
context_popularity_score,0.015763314
candidate_category_Clothing-Casual,0.014736429
candidate_category_Pickle,0.0146153085
candidate_category_Household-Utility,0.0142391035
candidate_category_Other,0.013725903
candidate_category_Clothing-Traditional,0.013315237
candidate_category_Bakery-Bread,0.012468765
candidate_category_Chocolates-Sweets,0.012394275
candidate_category_Pantry-Pulses,0.011865203
candidate_category_Beverage-Hot,0.011762414
candidate_category_Pantry-Grains,0.011001014
candidate_category_Spices-Meatspecial,0.009231919
candidate_category_Household-Cleaning,0.008546274
candidate_category_Spices-Cooking,0.008541636
item_cooccurrence_score,0.008481369
candidate_category_Pantry-Sweeteners,0.006596496
category_affinity_score,0.0034262976
isFestival,0.0032760513
isHoliday,0.0031818294
embedding_similarity_score,0.0027874957
timeSlot_Morning,0.002299812
season_Summer,0.0020768186
basket_size,0.0020228766
timeSlot_Evening,0.0019962278
timeSlot_Afternoon,0.0017882168
timeSlot_Night,0.0014505964
weekOfMonth,0.0014254209
season_Rainy,0.0013472156
season_Winter,0.0011739957
candidate_category_Beverage-Water,0.0
