feature,importance
business_boost_score,0.34486803
allowed_category_flag,0.24562913
profile_name_cooking,0.044899043
candidate_category_Veg-Cooking,0.024967086
profile_name_clothing,0.023421252
customer_history_score,0.022680761
candidate_category_Dairy-Other,0.018207926
candidate_category_Fruits-Fresh,0.012365839
candidate_category_Pantry-Flour,0.011443996
profile_name_generic,0.011421994
candidate_category_Meat-Fresh,0.011060584
candidate_category_Pantry-Oils,0.010796467
candidate_category_Bakery-Bread,0.009980045
context_popularity_score,0.009739121
candidate_category_Meat-Processed,0.0095189875
candidate_category_Pantry-Rice,0.008723109
candidate_category_Personal-Care-Hair,0.008712472
candidate_category_Pantry-Pulses,0.008199261
candidate_category_Protein-Egg,0.007912054
candidate_category_Beverage-Carbonated,0.0075602545
candidate_category_Personal-Care-Bath,0.0075341924
candidate_category_Clothing-Accessories,0.0067837923
profile_name_breakfast,0.006615787
candidate_category_Pantry-Dryfood,0.0064601447
item_cooccurrence_score,0.006301661
candidate_category_Pantry-Grains,0.0061296374
candidate_category_Beverage-Hot,0.0061277673
candidate_category_Spices-Cooking,0.006011303
candidate_category_Fish-Fresh,0.0056280857
candidate_category_Personal-Care-Sanitary,0.0053528543
candidate_category_Clothing-Traditional,0.0047925925
candidate_category_Dairy-Milk,0.0047878763
candidate_category_Beverage-Water,0.0045926464
candidate_category_Personal-Care-Oral,0.004493906
candidate_category_Beverage-Juice,0.0043650237
candidate_category_Snacks-General,0.0041175415
candidate_category_Pantry-Sweeteners,0.0035269803
candidate_category_Instant-Food,0.0032661436
category_affinity_score,0.003151147
profile_name_personal_care,0.0030677537
candidate_category_Personal-Care-Cosmetics,0.0030351235
candidate_category_Clothing-Casual,0.0029671222
preferred_category_flag,0.0029242563
embedding_similarity_score,0.0029065567
candidate_category_Spices-Meatspecial,0.0028072128
isFestival,0.0023807245
profile_name_snack,0.0023031568
profile_name_sanitary_plus,0.0022854488
basket_size,0.0021698093
isHoliday,0.0021648223
input_category_count,0.0020304578
weekOfMonth,0.0020197474
timeSlot_Morning,0.0019659498
season_Summer,0.0019607698
required_group_flag,0.0018864208
season_Rainy,0.0018324613
timeSlot_Night,0.0018314837
timeSlot_Afternoon,0.0018144434
season_Winter,0.0017715119
timeSlot_Evening,0.0017282908
candidate_category_Household-Tissue,0.0
candidate_category_Household-Laundry,0.0
candidate_category_Household-Kitchen,0.0
candidate_category_Household-Cleaning,0.0
candidate_category_Household-Aircare,0.0
candidate_category_Dry-Fruits,0.0
candidate_category_Household-Utility,0.0
candidate_category_Pickle,0.0
candidate_category_Chocolates-Sweets,0.0
candidate_category_Desserts-Traditional,0.0
candidate_category_Other,0.0
